197: Liang Wang, weight = 120983
198: Xue Liu, weight = 120977
199: Lu Liu, weight = 120797
200: Jun Chen, weight = 120779
201: Jian Ma, weight = 120449
202: Jia Wang, weight = 120023
203: Yan Huang, weight = 119778
204: Jun Zhu, weight = 119769
205: Kai Zhang, weight = 119455
206: Lin Zhang, weight = 119395
207: Jun Wu, weight = 119373
208: Bo Yang, weight = 119292
209: Cheng Wang, weight = 118477
210: Yang Xu, weight = 118232
211: Xu Zhang, weight = 118041
212: Bo Chen, weight = 117572
213: Yong Yu, weight = 117309
214: Ting Wang, weight = 117224
215: Jian Pei, weight = 117161
216: Xiang Zhang, weight = 117013
217: Yang Yu, weight = 116257
218: Kun Wang, weight = 116251
219: Feng Chen, weight = 116145
220: Li Liu, weight = 116050
221: Tat-Seng Chua, weight = 115461
222: Yunhao Liu, weight = 115040
223: Chun Chen, weight = 114622
224: Hong Wang, weight = 114481
225: Zheng Li, weight = 114180
226: Bin Chen, weight = 113987
227: Fang Wang, weight = 113599
228: Zhe Wang, weight = 113411
229: Lei Chen, weight = 113109
230: Laurence T. Yang, weight = 112637
231: Naixue Xiong, weight = 112573
232: Ling Liu, weight = 112513
233: Yi Pan, weight = 112291
234: Xindong Wu, weight = 111765
235: Yang Song, weight = 111526
236: Minyi Guo, weight = 111488
237: Wei Zhao, weight = 111348
238: Dong Li, weight = 111335
239: Elisa Bertino, weight = 111235
240: Xin Jin, weight = 111194
241: Hao Chen, weight = 111171
242: Lin Wang, weight = 111090
243: Sajal K. Das, weight = 110963
244: Min Wang, weight = 110950
245: Zhen Liu, weight = 110908
246: Na Li, weight = 110801
247: Xuemin Shen, weight = 110800
248: Lu Wang, weight = 110665
249: Ning Li, weight = 110189
250: Tao Mei, weight = 110154
251: Wei-Ying Ma, weight = 109750
252: Min Zhang, weight = 109225
253: Wei Gao, weight = 109123
254: Kai Liu, weight = 109053
255: Wei Lu, weight = 108875
256: Lei Shu, weight = 108532
257: Jun Hu, weight = 108461
258: Qionghai Dai, weight = 108312
259: Dong Liu, weight = 108172
260: Licheng Jiao, weight = 107629
261: Chi Zhang, weight = 107295
262: Fei Li, weight = 107165
263: Yi Sun, weight = 107144
264: Li Guo, weight = 106466
265: Yang Xiang, weight = 106290
266: Christos Faloutsos, weight = 106243
267: Alok N. Choudhary, weight = 106190
268: Hanqing Lu, weight = 106106
269: Yong Zhao, weight = 106057
270: Jie Yang, weight = 105867
